2085.137 -2.935 -6.848 0.199
2086.137 -2.781 -6.610 0.087
2087.137 -2.636 -6.354 -0.028
2088.137 -2.503 -6.081 -0.144
2089.137 -2.384 -5.794 -0.259
2090.137 -2.279 -5.494 -0.372
2091.137 -2.190 -5.184 -0.481
2092.137 -2.118 -4.867 -0.585
2093.137 -2.062 -4.545 -0.684
2094.137 -2.022 -4.221 -0.775
2095.137 -1.998 -3.898 -0.858
2096.137 -1.989 -3.578 -0.933
2097.137 -1.994 -3.265 -0.998
2098.137 -2.011 -2.961 -1.055
2099.137 -2.037 -2.669 -1.102
2100.137 -2.071 -2.391 -1.140
2101.137 -2.111 -2.130 -1.171
2102.137 -2.155 -1.887 -1.193
2103.137 -2.199 -1.665 -1.209
2104.137 -2.242 -1.464 -1.220
2105.137 -2.282 -1.287 -1.227
2106.137 -2.318 -1.133 -1.232
2107.137 -2.347 -1.004 -1.236
2108.137 -2.369 -0.900 -1.241
2109.137 -2.384 -0.820 -1.249
2110.137 -2.390 -0.763 -1.262
2111.137 -2.389 -0.731 -1.282
2112.137 -2.380 -0.720 -1.310
2113.137 -2.365 -0.730 -1.348
2114.137 -2.344 -0.760 -1.398
2115.137 -2.319 -0.808 -1.460
2116.137 -2.290 -0.871 -1.536
2117.137 -2.261 -0.949 -1.626
2118.137 -2.231 -1.039 -1.731
2119.137 -2.202 -1.139 -1.851
2120.137 -2.177 -1.247 -1.986
2121.137 -2.154 -1.362 -2.134
2122.137 -2.137 -1.482 -2.296
2123.137 -2.124 -1.605 -2.469
2124.137 -2.117 -1.730 -2.652
2125.137 -2.117 -1.855 -2.843
2126.137 -2.121 -1.979 -3.040
2127.137 -2.132 -2.103 -3.240
2128.137 -2.148 -2.224 -3.442
2129.137 -2.169 -2.343 -3.641
2130.137 -2.193 -2.460 -3.835
2131.137 -2.222 -2.574 -4.022
2132.137 -2.253 -2.687 -4.198
2133.137 -2.286 -2.797 -4.361
2134.137 -2.321 -2.906 -4.507
2135.137 -2.357 -3.014 -4.636
2136.137 -2.393 -3.122 -4.744
2137.137 -2.428 -3.231 -4.829
2138.137 -2.463 -3.341 -4.890
2139.137 -2.496 -3.452 -4.927
2140.137 -2.528 -3.566 -4.938
2141.137 -2.557 -3.683 -4.923
2142.137 -2.585 -3.803 -4.882
2143.137 -2.609 -3.927 -4.817
2144.137 -2.631 -4.054 -4.727
2145.137 -2.649 -4.185 -4.615
2146.137 -2.664 -4.319 -4.483
2147.137 -2.675 -4.456 -4.334
2148.137 -2.683 -4.595 -4.169
2149.137 -2.687 -4.736 -3.992
2150.137 -2.687 -4.878 -3.806
2151.137 -2.684 -5.020 -3.615
2152.137 -2.677 -5.162 -3.422
2153.137 -2.667 -5.301 -3.232
2154.137 -2.653 -5.438 -3.047
2155.137 -2.637 -5.570 -2.872
2156.137 -2.619 -5.698 -2.711
2157.137 -2.600 -5.819 -2.566
2158.137 -2.579 -5.934 -2.441
2159.137 -2.557 -6.041 -2.338
2160.137 -2.536 -6.139 -2.261
2161.137 -2.514 -6.229 -2.211
2162.137 -2.494 -6.309 -2.191
2163.137 -2.474 -6.379 -2.201
2164.137 -2.456 -6.439 -2.243
2165.137 -2.439 -6.490 -2.317
2166.137 -2.423 -6.531 -2.424
2167.137 -2.409 -6.562 -2.561
2168.137 -2.396 -6.584 -2.730
2169.137 -2.383 -6.598 -2.927
2170.137 -2.370 -6.604 -3.153
2171.137 -2.356 -6.603 -3.404
2172.137 -2.340 -6.596 -3.677
